movie_category,movie_name,movie_rating,movie_release_year,movie_url
Drama,A Chance in the World,6.6,2017,https://yts.mx/movies/a-chance-in-the-world-2017
Drama,Falling in Love Again,5.9,2018,https://yts.mx/movies/falling-in-love-again-2018
Drama, Diga Meu Nome,7.2,2020,https://yts.mx/movies/diga-meu-nome-2020
Drama,Bobbi Kristina,5.5,2017,https://yts.mx/movies/bobbi-kristina-2017
Drama,Cardinals,5.6,2017,https://yts.mx/movies/cardinals-2017
Drama,The Perfect Prayer: A Faith Based Film,1.9,2018,https://yts.mx/movies/the-perfect-prayer-a-faith-based-film-2018
Drama,Downsized,6.0,2017,https://yts.mx/movies/downsized-2017
Drama,Azzu & Gazzu: International Super Detectives,5.9,2018,https://yts.mx/movies/azzu-gazzu-international-super-detectives-2018
Drama, The Sheriff and the Satellite Kid,6.1,1979,https://yts.mx/movies/the-sheriff-and-the-satellite-kid-1979
Drama,Created Equal,5.7,2017,https://yts.mx/movies/created-equal-2017
Drama,In Emma's Footsteps,7.1,2018,https://yts.mx/movies/in-emmas-footsteps-2018
Animation, Limonov: The Ballad of Eddie,6.0,2024,https://yts.mx/movies/limonov-the-ballad-of-eddie-2024
Animation,"I, Dolours",7.2,2018,https://yts.mx/movies/i-dolours-2018
Animation,LEGO Hidden Side: Night of the Harbinger,6.7,2020,https://yts.mx/movies/lego-hidden-side-night-of-the-harbinger-2020
Animation, The Liberator,6.7,2013,https://yts.mx/movies/the-liberator-2013
Animation,Sons of Steel,5.1,1988,https://yts.mx/movies/sons-of-steel-1988
Animation,Marked Men,5.0,2025,https://yts.mx/movies/marked-men-2025
Animation, Sanam Teri Kasam,7.6,2016,https://yts.mx/movies/sanam-teri-kasam-2016
Animation, Festmahl der Tiere,,2020,https://yts.mx/movies/festmahl-der-tiere-2020
Animation,A Lot Like Christmas,4.5,2018,https://yts.mx/movies/a-lot-like-christmas-2018
Animation, Victor & Célia,5.8,2019,https://yts.mx/movies/victor-celia-2019
Animation, Everything Happens to Me,5.8,1980,https://yts.mx/movies/everything-happens-to-me-1980
Animation, A Grande Vitória,5.7,2014,https://yts.mx/movies/a-grande-vitoria-2014
Animation,Ibiza,5.2,2018,https://yts.mx/movies/ibiza-2018
Animation,Pete Correale: For Pete's Sake,6.0,2019,https://yts.mx/movies/pete-correale-for-petes-sake-2019
Animation, Ba guo lian jun,6.3,1976,https://yts.mx/movies/ba-guo-lian-jun-1976
Animation,Widow Clicquot,6.3,2023,https://yts.mx/movies/widow-clicquot-2023
Animation, Le prix du passage,5.5,2022,https://yts.mx/movies/le-prix-du-passage-2022
Animation, Doraemon the Movie: Nobita's Sky Utopia,6.7,2023,https://yts.mx/movies/doraemon-the-movie-nobitas-sky-utopia-2023
Animation,The Dead Thing,6.1,2024,https://yts.mx/movies/the-dead-thing-2024
Animation, À toute allure,5.6,2024,https://yts.mx/movies/a-toute-allure-2024
Action, Dhoom Dhaam,,2025,https://yts.mx/movies/dhoom-dhaam-2025
Action, Umjolo: There Is No Cure,,2025,https://yts.mx/movies/umjolo-there-is-no-cure-2025
Action,Puppy Bowl XXI,8.7,2025,https://yts.mx/movies/puppy-bowl-xxi-2025
Action,Catfish Killer,4.7,2022,https://yts.mx/movies/catfish-killer-2022
Action, Výjimecný stav,5.8,2024,https://yts.mx/movies/vyjimecny-stav-2024
Action,"O.J. Simpson: Blood, Lies & Murder",7.3,2023,https://yts.mx/movies/o-j-simpson-blood-lies-murder-2023
Action,Romeo + Isabella,5.3,2023,https://yts.mx/movies/romeo-isabella-2023
Action,The Struggle,3.5,2019,https://yts.mx/movies/the-struggle-2019
Action,Boys of Summer,7.5,2010,https://yts.mx/movies/boys-of-summer-2010
Action,One of Them Days,7.1,2025,https://yts.mx/movies/one-of-them-days-2025
Action,Thanksgiving with the Carters,4.5,2019,https://yts.mx/movies/thanksgiving-with-the-carters-2019
Action,Magic,7.5,2019,https://yts.mx/movies/magic-2019
Action,In a New York Minute,7.9,2019,https://yts.mx/movies/in-a-new-york-minute-2019
Action,The Soviet Sleep Experiment,6.4,2019,https://yts.mx/movies/the-soviet-sleep-experiment-2019
Action, Take a Stan,6.2,2019,https://yts.mx/movies/take-a-stan-2019
Action," Hello, Love, Again",7.1,2024,https://yts.mx/movies/hello-love-again-2024
Action, Breaking Point,5.2,2023,https://yts.mx/movies/breaking-point-2-2023
Action,Elf Day,3.9,2020,https://yts.mx/movies/elf-day-2020
Action,The Work Wife,4.1,2019,https://yts.mx/movies/the-work-wife-2019
Action,Requiem for a Running Back,8.7,2017,https://yts.mx/movies/requiem-for-a-running-back-2017
Animation,Lil' Monsters,5.5,2019,https://yts.mx/movies/lil-monsters-2019
Animation, Un week-end sur deux,5.7,1990,https://yts.mx/movies/un-week-end-sur-deux-1990
Animation,Groundhog Dave 2,5.8,2020,https://yts.mx/movies/groundhog-dave-2-2020
Animation,A Nymphoid Barbarian in Dinosaur Hell,2.7,1990,https://yts.mx/movies/a-nymphoid-barbarian-in-dinosaur-hell-1990
Animation,The Rubber-Keyed Wonder,8.0,2024,https://yts.mx/movies/the-rubber-keyed-wonder-2024
Animation, Troy the Bharat Putra,7.5,2024,https://yts.mx/movies/troy-the-bharat-putra-2024
Animation, Gaami,6.4,2024,https://yts.mx/movies/gaami-2024
Animation,Kinda Pregnant,5.0,2025,https://yts.mx/movies/kinda-pregnant-2025
Animation,The Answer,4.2,2015,https://yts.mx/movies/the-answer-2-2015
Animation,FairyTale: A True Story,6.5,1997,https://yts.mx/movies/fairytale-a-true-story-1997
